name,type,start_time,duration,"t","speedLimit","gear","driveMode","zeroStart","lightEnable","nSpeedMagnets","wheelDiameter","boostSensitivity","boostStrength","currentLimit","underVoltage","speed","cruiseEnable","powerMagnetType","CRC"
"FocanGZ3-TX","GZ3_TX",2.96931,0.035935,1.259638,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.006048,0.014542,1.2963759999999998,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.078931,0.036765,1.369259,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.116736,0.01454,1.407064,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.188335,0.036244,1.478663,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.225348,0.014539,1.515676,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.362413,0.035307,1.652741,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.398507,0.01454,1.688835,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.471814,0.038113,1.7621420000000003,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.510219,0.014539,1.8005470000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.581107,0.03572,1.871435,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.617775,0.01454,1.908103,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.690399,0.036762,1.9807270000000003,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.727445,0.01454,2.017773,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.7998,0.037904,2.0901279999999995,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.838113,0.014539,2.128441,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",3.909612,0.037802,2.1999400000000002,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",3.947749,0.014539,2.238077,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",4.019218,0.036451,2.309546,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",4.056342,0.01454,2.34667,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",4.12904,0.03687,2.419368,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",4.166019,0.014541,2.456347,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",4.238653,0.037388,2.5289810000000004,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
